gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00000001-RA	0	0
H2NCmale_00000003-RA	0	0
H2NCmale_00000004-RA	0	0
H2NCmale_00000005-RA	0	0
H2NCmale_00000006-RA	0	0
H2NCmale_00000007-RA	0	0
H2NCmale_00000009-RA	0	0
H2NCmale_00000010-RA	0	0
H2NCmale_00000011-RA	0	0
H2NCmale_00000012-RA	0	0
H2NCmale_00000013-RA	0	0
H2NCmale_00000014-RA	0	0
H2NCmale_00000015-RA	0	0
H2NCmale_00000016-RA	0	0
H2NCmale_00000017-RA	0	0
H2NCmale_00000018-RA	0	0
H2NCmale_00000019-RA	0	0
H2NCmale_00000022-RA	0	0
H2NCmale_00000023-RA	0	0
H2NCmale_00000024-RA	0	0
H2NCmale_00000025-RA	0	0
H2NCmale_00000028-RA	0	0
H2NCmale_00000029-RA	0	0
H2NCmale_00000030-RA	0	0
H2NCmale_00000031-RA	0	0
H2NCmale_00000032-RA	0	0
H2NCmale_00000033-RA	0	0
H2NCmale_00000034-RA	0	0
H2NCmale_00000035-RA	0	0
H2NCmale_00000038-RA	0	0
H2NCmale_00000040-RA	0	0
H2NCmale_00000048-RA	0	0
H2NCmale_00000050-RA	0	0
H2NCmale_00000054-RA	0	0
H2NCmale_00000055-RA	0	0
H2NCmale_00000056-RA	0	0
H2NCmale_00000059-RA	0	0
H2NCmale_00000060-RA	0	0
H2NCmale_00000061-RA	0	0
H2NCmale_00000068-RA	0	0
H2NCmale_00000069-RA	0	0
H2NCmale_00000077-RA	0	0
H2NCmale_00000078-RA	0	0
H2NCmale_00000081-RA	0	0
H2NCmale_00000084-RA	0	0
H2NCmale_00000085-RA	0	0
H2NCmale_00000087-RA	0	0
H2NCmale_00000088-RA	0	0
H2NCmale_00000089-RA	0	0
H2NCmale_00000090-RA	0	0
H2NCmale_00000091-RA	0	0
H2NCmale_00000092-RA	0	0
H2NCmale_00000093-RA	0	0
H2NCmale_00000094-RA	0	0
H2NCmale_00000095-RA	0	0
H2NCmale_00000096-RA	0	0
H2NCmale_00000097-RA	0	0
H2NCmale_00000100-RA	0	0
H2NCmale_00000101-RA	0	0
H2NCmale_00000102-RA	0	0
H2NCmale_00000103-RA	0	0
H2NCmale_00000104-RA	0	0
H2NCmale_00000106-RA	0	0
H2NCmale_00000107-RA	0	0
H2NCmale_00000108-RA	0	0
H2NCmale_00000111-RA	0	0
H2NCmale_00000118-RA	0	0
H2NCmale_00000121-RA	0	0
H2NCmale_00000123-RA	0	0
H2NCmale_00000124-RA	0	0
H2NCmale_00000127-RA	0	0
H2NCmale_00000128-RA	0	0
H2NCmale_00000129-RA	0	0
H2NCmale_00000130-RA	0	0
H2NCmale_00000136-RA	0	0
H2NCmale_00000139-RA	0	0
H2NCmale_00000152-RA	0	0
H2NCmale_00000153-RA	0	0
H2NCmale_00000154-RA	0	0
H2NCmale_00000155-RA	0	0
H2NCmale_00000156-RA	0	0
H2NCmale_00000157-RA	0	0
H2NCmale_00000161-RA	0	0
H2NCmale_00000162-RA	0	0
H2NCmale_00000164-RA	0	0
H2NCmale_00000165-RA	0	0
H2NCmale_00000166-RA	0	0
H2NCmale_00000167-RA	0	0
H2NCmale_00000171-RA	0	0
H2NCmale_00000178-RA	0	0
H2NCmale_00000179-RA	0	0
H2NCmale_00000182-RA	0	0
H2NCmale_00000183-RA	0	0
H2NCmale_00000184-RA	0	0
H2NCmale_00000186-RA	0	0
H2NCmale_00000188-RA	0	0
H2NCmale_00000189-RA	0	0
H2NCmale_00000198-RA	0	0
H2NCmale_00000202-RA	0	0
H2NCmale_00000203-RA	0	0
H2NCmale_00000204-RA	0	0
H2NCmale_00000205-RA	0	0
H2NCmale_00000206-RA	0	0
H2NCmale_00000207-RA	0	0
